p1,p2,fid
0.0,0.0,0.6827573761956143
0.0,0.1,0.7112549055938546
0.0,0.2,0.7291340996694641
0.0,0.3,0.723728762665973
0.0,0.4,0.6849296710010725
0.0,0.5,0.7053569270596098
0.0,0.6,0.7107228105811287
0.0,0.7,0.7320280664209673
0.0,0.8,0.714810210582651
0.0,0.9,0.7117360756745561
0.1,0.0,0.6869352841200171
0.1,0.1,0.7244160967726788
0.1,0.2,0.719398463051671
0.1,0.3,0.7393233113688333
0.1,0.4,0.7497170591745239
0.1,0.5,0.7167038907491788
0.1,0.6,0.7395002299646927
0.1,0.7,0.7724319089478819
0.1,0.8,0.7478988160769116
0.2,0.0,0.704471603506646
0.2,0.1,0.7109000503394165
0.2,0.2,0.7252117353919174
0.2,0.3,0.7026488768675143
0.2,0.4,0.7575426509423608
0.2,0.5,0.7695339107742507
0.2,0.6,0.7331320230737186
0.2,0.7,0.7430901029075911
0.3,0.0,0.7489036553767292
0.3,0.1,0.7826709818380925
0.3,0.2,0.7956206094380236
0.3,0.3,0.7565620465722059
0.3,0.4,0.7211061375798697
0.3,0.5,0.7631521504365091
0.3,0.6,0.7640886570812471
0.4,0.0,0.7422239333345138
0.4,0.1,0.7430077275638518
0.4,0.2,0.7569464949619835
0.4,0.3,0.729938082544396
0.4,0.4,0.7859625562465984
0.4,0.5,0.7233592989924513
0.5,0.0,0.7244427641337707
0.5,0.1,0.7628227695346566
0.5,0.2,0.7632855065412221
0.5,0.3,0.7449242868074053
0.5,0.4,0.7361993156569493
0.6,0.0,0.7553771172085613
0.6,0.1,0.7596259227556856
0.6,0.2,0.771163336232776
0.6,0.3,0.7424269088014994
0.7,0.0,0.7208141644676523
0.7,0.1,0.7602818869697463
0.7,0.2,0.7136172621540795
0.8,0.0,0.7575825746189114
0.8,0.1,0.6827479896420826
0.9,0.0,0.7151266410810315
