tau1,tau2,tau3,fidelity
-1.0,-1.0,1.0,0.5869928350349595
-1.0,-0.75,0.75,0.6473899206625551
-1.0,-0.5,0.5,0.6996844319499113
-1.0,-0.25,0.25,0.7033401591389059
-1.0,0.0,0.0,0.7083036309626788
-1.0,0.25,-0.25,0.7108800467103145
-1.0,0.5,-0.5,0.7136327079515692
-1.0,0.75,-0.75,0.6639551789247817
-1.0,1.0,-1.0,0.6032684858694312
-0.75,-1.0,0.75,0.646075536072015
-0.75,-0.75,0.5,0.7244027418699496
-0.75,-0.75,0.75,0.6769717832075162
-0.75,-0.75,1.0,0.6487052042940127
-0.75,-0.5,0.25,0.7647618664694902
-0.75,-0.5,0.5,0.7477306677269973
-0.75,-0.5,0.75,0.7207890757210271
-0.75,-0.25,0.0,0.7686719497673914
-0.75,-0.25,0.25,0.7620343937759497
-0.75,-0.25,0.5,0.7589912961356731
-0.75,0.0,-0.25,0.770930691470891
-0.75,0.0,0.0,0.7679805656559964
-0.75,0.0,0.25,0.7641109104370035
-0.75,0.25,-0.5,0.7783062721036178
-0.75,0.25,-0.25,0.7713751350374562
-0.75,0.25,0.0,0.7720346761216155
-0.75,0.5,-0.75,0.7288708522710823
-0.75,0.5,-0.5,0.76285531180473
-0.75,0.5,-0.25,0.7792950811735213
-0.75,0.75,-1.0,0.6658907615215528
-0.75,0.75,-0.75,0.6921306365986544
-0.75,0.75,-0.5,0.7240227954833476
-0.75,1.0,-0.75,0.6669526185574262
-0.5,-1.0,0.5,0.7148995297971223
-0.5,-0.75,0.25,0.7815099888286808
-0.5,-0.75,0.5,0.7487004872302024
-0.5,-0.75,0.75,0.7139041184227752
-0.5,-0.5,0.0,0.826463741109899
-0.5,-0.5,0.25,0.8157832401574167
-0.5,-0.5,0.5,0.7806187652672462
-0.5,-0.5,0.75,0.7462259614275778
-0.5,-0.5,1.0,0.7091118271677165
-0.5,-0.25,-0.25,0.8337392978292725
-0.5,-0.25,0.0,0.8341679853045535
-0.5,-0.25,0.25,0.8300886393764946
-0.5,-0.25,0.5,0.8116491870532219
-0.5,-0.25,0.75,0.7713732601207961
-0.5,0.0,-0.5,0.8305750301257504
-0.5,0.0,-0.25,0.8345099407456528
-0.5,0.0,0.0,0.8285468545293108
-0.5,0.0,0.25,0.8341073006094124
-0.5,0.0,0.5,0.8319304566975847
-0.5,0.25,-0.75,0.7769492892434454
-0.5,0.25,-0.5,0.8185304346090738
-0.5,0.25,-0.25,0.8264740509220275
-0.5,0.25,0.0,0.8392721095075439
-0.5,0.25,0.25,0.8285150086561521
-0.5,0.5,-1.0,0.7076708026565395
-0.5,0.5,-0.75,0.7529119674441564
-0.5,0.5,-0.5,0.7858513797635304
-0.5,0.5,-0.25,0.8186361179313593
-0.5,0.5,0.0,0.8369671699462589
-0.5,0.75,-0.75,0.7285838578066985
-0.5,0.75,-0.5,0.7576653350678941
-0.5,0.75,-0.25,0.7886064359147877
-0.5,1.0,-0.5,0.7209754812139451
-0.25,-1.0,0.25,0.723503697720528
-0.25,-0.75,0.0,0.7846268295402332
-0.25,-0.75,0.25,0.7856945583367235
-0.25,-0.75,0.5,0.7781525442757544
-0.25,-0.5,-0.25,0.8507054281777074
-0.25,-0.5,0.0,0.8473299226610553
-0.25,-0.5,0.25,0.8371204718473053
-0.25,-0.5,0.5,0.8100771708597339
-0.25,-0.5,0.75,0.7691209462386543
-0.25,-0.25,-0.5,0.8380791349625136
-0.25,-0.25,-0.25,0.8813407426954948
-0.25,-0.25,0.0,0.8907126442968718
-0.25,-0.25,0.25,0.8775504746881979
-0.25,-0.25,0.5,0.8353703495833908
-0.25,-0.25,0.75,0.774725703578937
-0.25,-0.25,1.0,0.7175960848808949
-0.25,0.0,-0.75,0.7716410110678111
-0.25,0.0,-0.5,0.8376945508322773
-0.25,0.0,-0.25,0.8793451823546652
-0.25,0.0,0.0,0.8898783316725913
-0.25,0.0,0.25,0.8869074163333474
-0.25,0.0,0.5,0.8373577871904214
-0.25,0.0,0.75,0.7852073989533432
-0.25,0.25,-1.0,0.7192587051557096
-0.25,0.25,-0.75,0.7748017772040275
-0.25,0.25,-0.5,0.8272200562919478
