tau1,tau2,tau3,fidelity
-1.0,-1.0,1,0.5830246396833458
-0.9591836734693877,-0.9591836734693877,1,0.5903330880176134
-0.9183673469387755,-0.9183673469387755,1,0.6057841214071021
-0.8775510204081632,-0.8775510204081632,1,0.6128716421023737
-0.8367346938775511,-0.8367346938775511,1,0.6220019211551412
-0.7959183673469388,-0.7959183673469388,1,0.6357960957510109
-0.7551020408163265,-0.7551020408163265,1,0.6461929115695679
-0.7142857142857143,-0.7142857142857143,1,0.6581728389129478
-0.6734693877551021,-0.6734693877551021,1,0.6660852384787548
-0.6326530612244898,-0.6326530612244898,1,0.6805281188662886
-0.5918367346938775,-0.5918367346938775,1,0.6884925224723173
-0.5510204081632654,-0.5510204081632654,1,0.7017196111809145
-0.5102040816326531,-0.5102040816326531,1,0.7086141048940857
-0.4693877551020409,-0.4693877551020409,1,0.7122971968018585
-0.4285714285714286,-0.4285714285714286,1,0.7187717437362147
-0.3877551020408164,-0.3877551020408164,1,0.7242199288760622
-0.34693877551020413,-0.34693877551020413,1,0.7228243198520685
-0.30612244897959184,-0.30612244897959184,1,0.7130943086236327
-0.26530612244897966,-0.26530612244897966,1,0.7174364743964023
-0.22448979591836737,-0.22448979591836737,1,0.7155030408650728
-0.1836734693877552,-0.1836734693877552,1,0.7174530513570446
-0.1428571428571429,-0.1428571428571429,1,0.7154065822166257
-0.10204081632653073,-0.10204081632653073,1,0.7151276301316746
-0.061224489795918435,-0.061224489795918435,1,0.714009639798483
-0.020408163265306145,-0.020408163265306145,1,0.7230522118727496
0.020408163265306145,0.020408163265306145,1,0.7223020216856997
0.06122448979591821,0.06122448979591821,1,0.719457472650318
0.1020408163265305,0.1020408163265305,1,0.7184822234441313
0.1428571428571428,0.1428571428571428,1,0.7183533474608917
0.18367346938775508,0.18367346938775508,1,0.7236304067215776
0.22448979591836715,0.22448979591836715,1,0.7212422758898078
0.26530612244897944,0.26530612244897944,1,0.7218600805501569
0.30612244897959173,0.30612244897959173,1,0.7214386323627344
0.346938775510204,0.346938775510204,1,0.7214506889983703
0.3877551020408163,0.3877551020408163,1,0.7147874024600267
0.4285714285714284,0.4285714285714284,1,0.7177592218652076
0.46938775510204067,0.46938775510204067,1,0.7171458858120319
0.510204081632653,0.510204081632653,1,0.7169674139343176
0.5510204081632653,0.5510204081632653,1,0.7212836775501341
0.5918367346938773,0.5918367346938773,1,0.7246723323829819
0.6326530612244896,0.6326530612244896,1,0.7120115465809552
0.6734693877551019,0.6734693877551019,1,0.7139873458797034
0.7142857142857142,0.7142857142857142,1,0.7115614620496403
0.7551020408163265,0.7551020408163265,1,0.6969819980535843
0.7959183673469385,0.7959183673469385,1,0.6936347172696871
0.8367346938775508,0.8367346938775508,1,0.684694278494221
0.8775510204081631,0.8775510204081631,1,0.67044238289179
0.9183673469387754,0.9183673469387754,1,0.6680524528968546
0.9591836734693877,0.9591836734693877,1,0.656510234846011
1.0,1.0,1,0.6414238323101012
