tau1,tau2,tau3,fidelity
0.0,0.0,-0.5,0.8306960354921233
0.0,0.0,-0.25,0.8916221503167508
0.0,0.0,0.0,0.9473673405129065
0.0,0.0,0.25,0.8864206954511697
0.0,0.0,0.5,0.835062211472393
0.0,0.0,0.75,0.7804401224183259
0.0,0.0,1.0,0.7173008866904911
0.0,0.25,-0.75,0.7665651741438574
0.0,0.25,-0.5,0.8302548831049048
0.0,0.25,-0.25,0.8916113277620726
0.0,0.25,0.0,0.9175248400471091
0.0,0.25,0.25,0.9046991231544439
0.0,0.25,0.5,0.8476087570726443
0.0,0.25,0.75,0.7839377018773462
0.0,0.5,-0.5,0.8243133758147929
0.0,0.5,-0.25,0.854011045022319
0.0,0.5,0.0,0.8474935380636709
0.0,0.5,0.25,0.8666620778383534
0.0,0.5,0.5,0.8481429189712557
0.0,0.75,-0.25,0.8044740143104185
0.0,0.75,0.0,0.8012130806311173
0.0,0.75,0.25,0.8137579478306896
0.0,1.0,0.0,0.734180009039878
0.25,-1.0,-0.25,0.7373092509833254
0.25,-0.75,-0.5,0.8022959051639007
0.25,-0.75,-0.25,0.798817156644744
0.25,-0.75,0.0,0.7921361518886457
0.25,-0.5,-0.75,0.7769348988754129
0.25,-0.5,-0.5,0.8318462017214378
0.25,-0.5,-0.25,0.8537376336894114
0.25,-0.5,0.0,0.8485085917792389
0.25,-0.5,0.25,0.8381841315576843
0.25,-0.25,-1.0,0.7078713991198982
0.25,-0.25,-0.75,0.777827409850768
0.25,-0.25,-0.5,0.8339724171073519
0.25,-0.25,-0.25,0.88974033308881
0.25,-0.25,0.0,0.9048818063582127
0.25,-0.25,0.25,0.8799551553925303
0.25,-0.25,0.5,0.8292523112975765
0.25,0.0,-0.75,0.7691548816987829
0.25,0.0,-0.5,0.8272119941328759
0.25,0.0,-0.25,0.8871215353457357
0.25,0.0,0.0,0.9237713051797904
0.25,0.0,0.25,0.8989537806178872
0.25,0.0,0.5,0.8287247655798087
0.25,0.0,0.75,0.7794982023590301
0.25,0.25,-0.5,0.8214446523332175
0.25,0.25,-0.25,0.8870388476437476
0.25,0.25,0.0,0.9122004272156075
0.25,0.25,0.25,0.8984549985533389
0.25,0.25,0.5,0.8383773437179236
0.25,0.25,0.75,0.7785248814960477
0.25,0.25,1.0,0.7172650151051165
0.25,0.5,-0.25,0.8504053483886275
0.25,0.5,0.0,0.8526609494417041
0.25,0.5,0.25,0.850941269672471
0.25,0.5,0.5,0.8413075991072279
0.25,0.5,0.75,0.7866313882939797
0.25,0.75,0.0,0.7946177043962442
0.25,0.75,0.25,0.8100857820443784
0.25,0.75,0.5,0.7981535955143964
0.25,1.0,0.25,0.7403718409823253
0.5,-1.0,-0.5,0.7351116561295041
0.5,-0.75,-0.75,0.7593699376474637
0.5,-0.75,-0.5,0.7929165193740724
0.5,-0.75,-0.25,0.8009487224360509
0.5,-0.5,-1.0,0.7165645140849786
0.5,-0.5,-0.75,0.7779605754527872
0.5,-0.5,-0.5,0.8199240120469911
0.5,-0.5,-0.25,0.8432372810877957
0.5,-0.5,0.0,0.844806979973076
0.5,-0.25,-0.75,0.7719056777287685
0.5,-0.25,-0.5,0.8357149901874426
0.5,-0.25,-0.25,0.8521769742112526
0.5,-0.25,0.0,0.8701366599208793
0.5,-0.25,0.25,0.8676139188541866
0.5,0.0,-0.5,0.8238925809637239
0.5,0.0,-0.25,0.8640705769607315
0.5,0.0,0.0,0.8614374266476638
0.5,0.0,0.25,0.8596911943688172
0.5,0.0,0.5,0.8273933610796113
0.5,0.25,-0.25,0.8635556610363041
0.5,0.25,0.0,0.8488594605382612
0.5,0.25,0.25,0.8633715845650457
0.5,0.25,0.5,0.8295915585593927
0.5,0.25,0.75,0.768876868263106
0.5,0.5,0.0,0.853973070279417
0.5,0.5,0.25,0.8457392901276845
0.5,0.5,0.5,0.8093317130319009
0.5,0.5,0.75,0.7756104397277455
0.5,0.5,1.0,0.7208277409473006
0.5,0.75,0.25,0.8017227682176813
0.5,0.75,0.5,0.7962889639980418
