lambda1, lambda2, lambda3, fidelidad
0.0,0.0,-0.5,0.6439542376944878
0.0,0.0,-0.25,0.5785934887039238
0.0,0.0,0.0,0.529995122556008
0.0,0.0,0.25,0.5787946251293112
0.0,0.0,0.5,0.6519548577061363
0.0,0.0,0.75,0.721024975738379
0.0,0.0,1.0,0.7918919801239109
0.0,0.25,-0.75,0.7204091330565465
0.0,0.25,-0.5,0.6455034253150616
0.0,0.25,-0.25,0.5884848115885772
0.0,0.25,0.0,0.5787375952350041
0.0,0.25,0.25,0.5950497749919963
0.0,0.25,0.5,0.6543753135922743
0.0,0.25,0.75,0.7254439801130242
0.0,0.5,-0.5,0.665960646719203
0.0,0.5,-0.25,0.6441183586734088
0.0,0.5,0.0,0.6452409800788064
0.0,0.5,0.25,0.6489753976623531
0.0,0.5,0.5,0.6829111095767737
0.0,0.75,-0.25,0.7112499287042341
0.0,0.75,0.0,0.7133142544574056
0.0,0.75,0.25,0.7160359120761524
0.0,1.0,0.0,0.7892733809901182
0.25,-1.0,-0.25,0.7923400786997898
0.25,-0.75,-0.5,0.7320838387938314
0.25,-0.75,-0.25,0.7247726978449016
0.25,-0.75,0.0,0.7226638811633009
0.25,-0.5,-0.75,0.7353267902882411
0.25,-0.5,-0.5,0.6776880282979871
0.25,-0.5,-0.25,0.6591394296525867
0.25,-0.5,0.0,0.6543035466281915
0.25,-0.5,0.25,0.6502416079977482
0.25,-0.25,-1.0,0.7931360435323883
0.25,-0.25,-0.75,0.7262365238584436
0.25,-0.25,-0.5,0.6594924615502522
0.25,-0.25,-0.25,0.6027249963772492
0.25,-0.25,0.0,0.602863144199354
0.25,-0.25,0.25,0.602860242541305
0.25,-0.25,0.5,0.6588257707878133
0.25,0.0,-0.75,0.7217097174174086
0.25,0.0,-0.5,0.6512866253637355
0.25,0.0,-0.25,0.602153990739206
0.25,0.0,0.0,0.5902548482175491
0.25,0.0,0.25,0.6004122683126945
0.25,0.0,0.5,0.6544051631785853
0.25,0.0,0.75,0.7241047173569274
0.25,0.25,-0.5,0.6580654628632341
0.25,0.25,-0.25,0.6044669405897045
0.25,0.25,0.0,0.5983771767365289
0.25,0.25,0.25,0.6081075438273008
0.25,0.25,0.5,0.6610844336957089
