lambda1, lambda2, lambda3, fidelidad
0.0,0.0,-0.5,0.8308868008787824
0.0,0.0,-0.25,0.8846878717623637
0.0,0.0,0.0,0.9355994051373434
0.0,0.0,0.25,0.9039403931607213
0.0,0.0,0.5,0.8363292568495018
0.0,0.0,0.75,0.7803353877651971
0.0,0.0,1.0,0.7202743414111197
0.0,0.25,-0.75,0.7590017018612428
0.0,0.25,-0.5,0.8256977073178748
0.0,0.25,-0.25,0.880104858830457
0.0,0.25,0.0,0.9102355914755503
0.0,0.25,0.25,0.9070826007367508
0.0,0.25,0.5,0.8451745261632957
0.0,0.25,0.75,0.7896853420146697
0.0,0.5,-0.5,0.8223548817681144
0.0,0.5,-0.25,0.8548472846926554
0.0,0.5,0.0,0.8623319242014681
0.0,0.5,0.25,0.862899342380216
0.0,0.5,0.5,0.8452240457570764
0.0,0.75,-0.25,0.7979014627441864
0.0,0.75,0.0,0.7991460995723226
0.0,0.75,0.25,0.8041567496851367
0.0,1.0,0.0,0.7411529703988088
0.25,-1.0,-0.25,0.7313096497142892
0.25,-0.75,-0.5,0.7959501141531924
0.25,-0.75,-0.25,0.7898958235939295
0.25,-0.75,0.0,0.7939563350956084
0.25,-0.5,-0.75,0.778191232743755
0.25,-0.5,-0.5,0.8357188672337481
0.25,-0.5,-0.25,0.8591192418334623
0.25,-0.5,0.0,0.8533649831674586
0.25,-0.5,0.25,0.8437674004952206
0.25,-0.25,-1.0,0.7135721928051304
0.25,-0.25,-0.75,0.771966233405035
0.25,-0.25,-0.5,0.8307550915136083
0.25,-0.25,-0.25,0.8925252833333392
0.25,-0.25,0.0,0.9102407236387673
0.25,-0.25,0.25,0.8797608535391487
0.25,-0.25,0.5,0.8272859174682482
0.25,0.0,-0.75,0.7701206625590703
0.25,0.0,-0.5,0.8297743556360985
0.25,0.0,-0.25,0.8866380337336448
0.25,0.0,0.0,0.9243263318203321
0.25,0.0,0.25,0.894947983784861
0.25,0.0,0.5,0.834673513576055
0.25,0.0,0.75,0.7708788208290981
0.25,0.25,-0.5,0.8274322337763297
0.25,0.25,-0.25,0.883912390785608
0.25,0.25,0.0,0.9114192823934623
0.25,0.25,0.25,0.8948497757527912
0.25,0.25,0.5,0.8364084296137547
0.25,0.25,0.75,0.7682928166274845
0.25,0.25,1.0,0.714374280890798
0.25,0.5,-0.25,0.8522579193800384
0.25,0.5,0.0,0.8640483029048773
0.25,0.5,0.25,0.8616991069160169
0.25,0.5,0.5,0.847468166657111
0.25,0.5,0.75,0.7830714353905247
0.25,0.75,0.0,0.7993325573122038
0.25,0.75,0.25,0.8045545338663724
0.25,0.75,0.5,0.8060308788078095
0.25,1.0,0.25,0.739391558424132
0.5,-1.0,-0.5,0.7310622575285661
0.5,-0.75,-0.75,0.7618419195026147
0.5,-0.75,-0.5,0.796781418219342
0.5,-0.75,-0.25,0.7980789838915442
0.5,-0.5,-1.0,0.7174042420378783
0.5,-0.5,-0.75,0.7753593604663739
0.5,-0.5,-0.5,0.8232599252931628
0.5,-0.5,-0.25,0.8480534526087908
0.5,-0.5,0.0,0.8424507622248302
0.5,-0.25,-0.75,0.763492338071923
0.5,-0.25,-0.5,0.8323998247427224
0.5,-0.25,-0.25,0.8562732748392334
0.5,-0.25,0.0,0.8720084022770838
0.5,-0.25,0.25,0.865039480156668
0.5,0.0,-0.5,0.8241810719418325
0.5,0.0,-0.25,0.8673342698062612
0.5,0.0,0.0,0.8729992448288914
0.5,0.0,0.25,0.8741442120804138
0.5,0.0,0.5,0.8180626385898465
0.5,0.25,-0.25,0.8573985957725236
0.5,0.25,0.0,0.8580475798921715
0.5,0.25,0.25,0.8562369735129328
0.5,0.25,0.5,0.8293900960623082
0.5,0.25,0.75,0.7704778029372202
0.5,0.5,0.0,0.8461737662677528
0.5,0.5,0.25,0.8480672853233856
0.5,0.5,0.5,0.8203515389917757
0.5,0.5,0.75,0.7750359246207712
0.5,0.5,1.0,0.7207467941345276
0.5,0.75,0.25,0.7959629163751384
0.5,0.75,0.5,0.7930724963385951
0.5,0.75,0.75,0.7557750883276878
0.5,1.0,0.5,0.7447145984495076
0.75,-1.0,-0.75,0.7126562892719437
0.75,-0.75,-1.0,0.7018491886808533
0.75,-0.75,-0.75,0.7374895123669075
0.75,-0.75,-0.5,0.7654635131042693
0.75,-0.5,-0.75,0.7587309769537544
0.75,-0.5,-0.5,0.7915685144917332
0.75,-0.5,-0.25,0.801838401290255
0.75,-0.25,-0.5,0.7946921631935089
0.75,-0.25,-0.25,0.8023738526722708
0.75,-0.25,0.0,0.808376759957863
0.75,0.0,-0.25,0.7896922393751805
0.75,0.0,0.0,0.7985552584052368
0.75,0.0,0.25,0.8027556293987571
0.75,0.25,0.0,0.8016247657885736
0.75,0.25,0.25,0.8110720740665538
0.75,0.25,0.5,0.7959269554333573
0.75,0.5,0.25,0.794709536959029
0.75,0.5,0.5,0.7866246890277673
0.75,0.5,0.75,0.7594166896982318
0.75,0.75,0.5,0.7648965846691376
0.75,0.75,0.75,0.7367531642463757
0.75,0.75,1.0,0.6989524368062323
0.75,1.0,0.75,0.7024341760615427
1.0,-1.0,-1.0,0.6513717846022219
1.0,-0.75,-0.75,0.7052117485169054
1.0,-0.5,-0.5,0.7309114753479559
1.0,-0.25,-0.25,0.7436259315324403
1.0,0.0,0.0,0.7292988355383709
1.0,0.25,0.25,0.7385407087636309
1.0,0.5,0.5,0.7367223668913179
1.0,0.75,0.75,0.6950626582500521
1.0,1.0,1.0,0.6438303641661097
