tau1,tau2,tau3,fidelity
-0.8947368421052632,-0.5789473684210527,0.5,0.694714694116907
-0.8947368421052632,-0.4736842105263158,0.5,0.7121884418109655
-0.7894736842105263,-0.6842105263157895,0.5,0.7004363375887636
-0.7894736842105263,-0.5789473684210527,0.5,0.717839377984962
-0.7894736842105263,-0.4736842105263158,0.5,0.7162175996496318
-0.7894736842105263,-0.368421052631579,0.5,0.7166173698547195
-0.6842105263157895,-0.7894736842105263,0.5,0.7013634661446353
-0.6842105263157895,-0.6842105263157895,0.5,0.725020190959657
-0.6842105263157895,-0.5789473684210527,0.5,0.7359757331905357
-0.6842105263157895,-0.4736842105263158,0.5,0.7375499749972769
-0.6842105263157895,-0.368421052631579,0.5,0.7609475068718081
-0.6842105263157895,-0.26315789473684215,0.5,0.7627574285754782
-0.5789473684210527,-0.8947368421052632,0.5,0.6977705784473319
-0.5789473684210527,-0.7894736842105263,0.5,0.7174196696550947
-0.5789473684210527,-0.6842105263157895,0.5,0.7260741356751197
-0.5789473684210527,-0.5789473684210527,0.5,0.7437109590919335
-0.5789473684210527,-0.4736842105263158,0.5,0.7616908266980158
-0.5789473684210527,-0.368421052631579,0.5,0.7761931147658115
-0.5789473684210527,-0.26315789473684215,0.5,0.7958474072097252
-0.5789473684210527,-0.1578947368421053,0.5,0.7903002550629421
-0.4736842105263158,-0.8947368421052632,0.5,0.7174209081870886
-0.4736842105263158,-0.7894736842105263,0.5,0.7152659848526661
-0.4736842105263158,-0.6842105263157895,0.5,0.7442331282591268
-0.4736842105263158,-0.5789473684210527,0.5,0.7669503966048831
-0.4736842105263158,-0.4736842105263158,0.5,0.7815684089927186
-0.4736842105263158,-0.368421052631579,0.5,0.7804797947888813
-0.4736842105263158,-0.26315789473684215,0.5,0.8017677289634189
-0.4736842105263158,-0.1578947368421053,0.5,0.8198537578619276
-0.4736842105263158,-0.052631578947368474,0.5,0.8126460402547433
-0.368421052631579,-0.7894736842105263,0.5,0.7395861007715612
-0.368421052631579,-0.6842105263157895,0.5,0.7612579827021376
-0.368421052631579,-0.5789473684210527,0.5,0.7795401148242231
-0.368421052631579,-0.4736842105263158,0.5,0.7886924060938736
-0.368421052631579,-0.368421052631579,0.5,0.7946591639957348
-0.368421052631579,-0.26315789473684215,0.5,0.8108658406888345
-0.368421052631579,-0.1578947368421053,0.5,0.8255516877080579
-0.368421052631579,-0.052631578947368474,0.5,0.8318969653959
-0.368421052631579,0.05263157894736836,0.5,0.8476629205556034
-0.26315789473684215,-0.6842105263157895,0.5,0.7700058836758517
-0.26315789473684215,-0.5789473684210527,0.5,0.7910239005294526
-0.26315789473684215,-0.4736842105263158,0.5,0.7990876822106805
-0.26315789473684215,-0.368421052631579,0.5,0.8161948968196107
-0.26315789473684215,-0.26315789473684215,0.5,0.8297044465864543
-0.26315789473684215,-0.1578947368421053,0.5,0.8305202559915639
-0.26315789473684215,-0.052631578947368474,0.5,0.8461250400662776
-0.26315789473684215,0.05263157894736836,0.5,0.8562655082523434
-0.26315789473684215,0.1578947368421053,0.5,0.8581734024813712
-0.1578947368421053,-0.5789473684210527,0.5,0.8001598447471298
-0.1578947368421053,-0.4736842105263158,0.5,0.7952925753403965
-0.1578947368421053,-0.368421052631579,0.5,0.8297182939955797
-0.1578947368421053,-0.26315789473684215,0.5,0.8459346555922274
-0.1578947368421053,-0.1578947368421053,0.5,0.840705492135831
-0.1578947368421053,-0.052631578947368474,0.5,0.8552113599910355
-0.1578947368421053,0.05263157894736836,0.5,0.8426664944884592
-0.1578947368421053,0.1578947368421053,0.5,0.8653166489618875
-0.1578947368421053,0.26315789473684204,0.5,0.8599359644796145
-0.052631578947368474,-0.4736842105263158,0.5,0.8202941591416179
-0.052631578947368474,-0.368421052631579,0.5,0.8364477916535084
-0.052631578947368474,-0.26315789473684215,0.5,0.828147940196722
-0.052631578947368474,-0.1578947368421053,0.5,0.8324012363235127
-0.052631578947368474,-0.052631578947368474,0.5,0.8561705039195305
-0.052631578947368474,0.05263157894736836,0.5,0.8593417826737981
-0.052631578947368474,0.1578947368421053,0.5,0.8572014743652195
-0.052631578947368474,0.26315789473684204,0.5,0.8597221793321347
-0.052631578947368474,0.36842105263157876,0.5,0.8601005218536184
0.05263157894736836,-0.368421052631579,0.5,0.8382677329850527
0.05263157894736836,-0.26315789473684215,0.5,0.848305487217705
0.05263157894736836,-0.1578947368421053,0.5,0.8483092753295541
0.05263157894736836,-0.052631578947368474,0.5,0.8361838439624689
0.05263157894736836,0.05263157894736836,0.5,0.8372678612474747
0.05263157894736836,0.1578947368421053,0.5,0.8543152931689981
0.05263157894736836,0.26315789473684204,0.5,0.8474104490061302
0.05263157894736836,0.36842105263157876,0.5,0.8402949695710576
0.05263157894736836,0.4736842105263157,0.5,0.8421303016844105
0.1578947368421053,-0.26315789473684215,0.5,0.8271366219789995
0.1578947368421053,-0.1578947368421053,0.5,0.8433791263972064
0.1578947368421053,-0.052631578947368474,0.5,0.8316895603068062
0.1578947368421053,0.05263157894736836,0.5,0.8410840917175751
0.1578947368421053,0.1578947368421053,0.5,0.8544179998417193
0.1578947368421053,0.26315789473684204,0.5,0.8551917658144459
0.1578947368421053,0.36842105263157876,0.5,0.8518247970494117
0.1578947368421053,0.4736842105263157,0.5,0.8614938645481252
0.1578947368421053,0.5789473684210527,0.5,0.8511048330595241
0.26315789473684204,-0.1578947368421053,0.5,0.8304588900621062
0.26315789473684204,-0.052631578947368474,0.5,0.8409854654969697
0.26315789473684204,0.05263157894736836,0.5,0.8428210564084369
0.26315789473684204,0.1578947368421053,0.5,0.8305729737695601
0.26315789473684204,0.26315789473684204,0.5,0.8231146812786966
0.26315789473684204,0.36842105263157876,0.5,0.8381308692337787
0.26315789473684204,0.4736842105263157,0.5,0.8602334895031989
0.26315789473684204,0.5789473684210527,0.5,0.8243759162438176
0.26315789473684204,0.6842105263157894,0.5,0.831188762129029
0.36842105263157876,-0.052631578947368474,0.5,0.8386319938489667
0.36842105263157876,0.05263157894736836,0.5,0.8420512708427684
0.36842105263157876,0.1578947368421053,0.5,0.8272220898200355
0.36842105263157876,0.26315789473684204,0.5,0.8495588318473394
0.36842105263157876,0.36842105263157876,0.5,0.8394729081982812
0.36842105263157876,0.4736842105263157,0.5,0.8461803124368994
0.36842105263157876,0.5789473684210527,0.5,0.8339924105719536
0.36842105263157876,0.6842105263157894,0.5,0.8085223106306353
0.36842105263157876,0.7894736842105261,0.5,0.8028803241061033
0.4736842105263157,0.05263157894736836,0.5,0.817121388382499
0.4736842105263157,0.1578947368421053,0.5,0.8204431443659707
0.4736842105263157,0.26315789473684204,0.5,0.8460242155088541
0.4736842105263157,0.36842105263157876,0.5,0.8306686237295109
0.4736842105263157,0.4736842105263157,0.5,0.8339606631219321
0.4736842105263157,0.5789473684210527,0.5,0.819289404550352
0.4736842105263157,0.6842105263157894,0.5,0.8067920219493057
0.4736842105263157,0.7894736842105261,0.5,0.7879420938755994
0.4736842105263157,0.894736842105263,0.5,0.7603331933027458
0.5789473684210527,0.1578947368421053,0.5,0.8190729239366394
0.5789473684210527,0.26315789473684204,0.5,0.822470040597699
0.5789473684210527,0.36842105263157876,0.5,0.8180686531807834
0.5789473684210527,0.4736842105263157,0.5,0.814858231835779
0.5789473684210527,0.5789473684210527,0.5,0.8156918426638582
0.5789473684210527,0.6842105263157894,0.5,0.7837282675343948
0.5789473684210527,0.7894736842105261,0.5,0.7805334466853721
0.5789473684210527,0.894736842105263,0.5,0.759353892296664
0.6842105263157894,0.26315789473684204,0.5,0.8148351089670254
0.6842105263157894,0.36842105263157876,0.5,0.8052667906258288
0.6842105263157894,0.4736842105263157,0.5,0.7978049915128648
0.6842105263157894,0.5789473684210527,0.5,0.7839698099114205
0.6842105263157894,0.6842105263157894,0.5,0.7782456829105231
0.6842105263157894,0.7894736842105261,0.5,0.7616119370067438
0.7894736842105261,0.36842105263157876,0.5,0.7915967007800484
0.7894736842105261,0.4736842105263157,0.5,0.7849683320754773
0.7894736842105261,0.5789473684210527,0.5,0.7645321422699618
0.7894736842105261,0.6842105263157894,0.5,0.7535860217421886
0.894736842105263,0.4736842105263157,0.5,0.7695539338838389
0.894736842105263,0.5789473684210527,0.5,0.7546112010091578
