lambda1, lambda2, lambda3, fidelidad
-0.8947368421052632,-0.052631578947368474,0,0.7320405279441231
-0.8947368421052632,0.05263157894736836,0,0.7396066942551607
-0.7894736842105263,-0.1578947368421053,0,0.7620934969104454
-0.7894736842105263,-0.052631578947368474,0,0.7660251944920001
-0.7894736842105263,0.05263157894736836,0,0.7587459151235905
-0.7894736842105263,0.1578947368421053,0,0.7685952810829895
-0.6842105263157895,-0.26315789473684215,0,0.7735978262354164
-0.6842105263157895,-0.1578947368421053,0,0.7902335895489679
-0.6842105263157895,-0.052631578947368474,0,0.7868559294604262
-0.6842105263157895,0.05263157894736836,0,0.787657749697765
-0.6842105263157895,0.1578947368421053,0,0.7842327670009583
-0.6842105263157895,0.26315789473684204,0,0.7897384525491739
-0.5789473684210527,-0.368421052631579,0,0.8069511243949771
-0.5789473684210527,-0.26315789473684215,0,0.8115319031460448
-0.5789473684210527,-0.1578947368421053,0,0.8076183173998035
-0.5789473684210527,-0.052631578947368474,0,0.8088979385376402
-0.5789473684210527,0.05263157894736836,0,0.8080244075292984
-0.5789473684210527,0.1578947368421053,0,0.8124096296089964
-0.5789473684210527,0.26315789473684204,0,0.8143820065547183
-0.5789473684210527,0.36842105263157876,0,0.8173206203440226
-0.4736842105263158,-0.4736842105263158,0,0.8345807471119261
-0.4736842105263158,-0.368421052631579,0,0.834772456208851
-0.4736842105263158,-0.26315789473684215,0,0.8400061262012506
-0.4736842105263158,-0.1578947368421053,0,0.8372751721518262
-0.4736842105263158,-0.052631578947368474,0,0.8358474741009756
-0.4736842105263158,0.05263157894736836,0,0.8468848026324524
-0.4736842105263158,0.1578947368421053,0,0.8430376662419461
-0.4736842105263158,0.26315789473684204,0,0.8424064700618298
-0.4736842105263158,0.36842105263157876,0,0.8382735039684158
-0.4736842105263158,0.4736842105263157,0,0.8419771836908164
-0.368421052631579,-0.5789473684210527,0,0.8290166228102732
-0.368421052631579,-0.4736842105263158,0,0.845138545896235
-0.368421052631579,-0.368421052631579,0,0.8622925448305397
-0.368421052631579,-0.26315789473684215,0,0.8595989282599821
-0.368421052631579,-0.1578947368421053,0,0.8525809726719835
-0.368421052631579,-0.052631578947368474,0,0.8707795634330546
-0.368421052631579,0.05263157894736836,0,0.8682934632298233
-0.368421052631579,0.1578947368421053,0,0.8616706084244286
-0.368421052631579,0.26315789473684204,0,0.8682196866838499
-0.368421052631579,0.36842105263157876,0,0.8622129473044899
-0.368421052631579,0.4736842105263157,0,0.8598734409133943
-0.368421052631579,0.5789473684210527,0,0.8424152409980421
-0.26315789473684215,-0.6842105263157895,0,0.803295588768665
-0.26315789473684215,-0.5789473684210527,0,0.8307478958547552
-0.26315789473684215,-0.4736842105263158,0,0.8518088800915983
-0.26315789473684215,-0.368421052631579,0,0.87694593188822
-0.26315789473684215,-0.26315789473684215,0,0.8878893445104563
-0.26315789473684215,-0.1578947368421053,0,0.893840823662195
-0.26315789473684215,-0.052631578947368474,0,0.88589818678591
-0.26315789473684215,0.05263157894736836,0,0.8942678383265693
-0.26315789473684215,0.1578947368421053,0,0.8878850622295139
-0.26315789473684215,0.26315789473684204,0,0.8861014294905809
-0.26315789473684215,0.36842105263157876,0,0.8842710499181727
-0.26315789473684215,0.4736842105263157,0,0.8696672473565222
-0.26315789473684215,0.5789473684210527,0,0.8407912199716299
-0.26315789473684215,0.6842105263157894,0,0.8332399559344874
-0.1578947368421053,-0.7894736842105263,0,0.7809777544559107
