lambda1, lambda2, lambda3, fidelidad,,,
0,0.25,-0.5,0.609299458,,,
0,0.25,-0.25,0.564278648,,,
0,0.25,0,0.538990124,,,
0,0.25,0.25,0.567119414,,,
0,0.25,0.5,0.603870159,,,
0,0.25,0.75,0.661642593,,,
0,0.5,-0.5,0.639056202,,,
0,0.5,-0.25,0.607750899,,,
0,0.5,0,0.595868338,,,
0,0.5,0.25,0.592598078,,,
0,0.5,0.5,0.622916599,,,
0,0.75,-0.25,0.644386004,,,
0,0.75,0,0.640294793,,,
0,0.75,0.25,0.644358872,,,
0,1,0,0.730767737,,,
0.25,-1,-0.25,0.725442122,,,
0.25,-0.75,-0.5,0.683157134,,,
0.25,-0.75,-0.25,0.673862599,,,
0.25,-0.75,0,0.668709555,,,
0.25,-0.5,-0.75,0.677079941,,,
0.25,-0.5,-0.5,0.650328745,,,
0.25,-0.5,-0.25,0.61475669,,,
0.25,-0.5,0,0.620907475,,,
0.25,-0.5,0.25,0.62540655,,,
0.25,-0.25,-1,0.706664163,,,
0.25,-0.25,-0.75,0.679569748,,,
0.25,-0.25,-0.5,0.624143325,,,
0.25,-0.25,-0.25,0.599790686,,,
0.25,-0.25,0,0.593004826,,,
0.25,-0.25,0.25,0.611563556,,,
0.25,-0.25,0.5,0.621092344,,,
0.25,0,-0.75,0.657329187,,,
0.25,0,-0.5,0.601785361,,,
0.25,0,-0.25,0.573910116,,,
0.25,0,0,0.573518512,,,
0.25,0,0.25,0.590693157,,,
0.25,0,0.5,0.630025772,,,
0.25,0,0.75,0.665287064,,,
0.25,0.25,-0.5,0.62456604,,,
0.25,0.25,-0.25,0.584568437,,,
0.25,0.25,0,0.586711464,,,
0.25,0.25,0.25,0.585541011,,,
0.25,0.25,0.5,0.621264199,,,
0.25,0.25,0.75,0.651872468,,,
0.25,0.25,1,0.693984843,,,
0.25,0.5,-0.25,0.604310574,,,
0.25,0.5,0,0.622759997,,,
0.25,0.5,0.25,0.606148707,,,
0.25,0.5,0.5,0.635379684,,,
0.25,0.5,0.75,0.641722255,,,
0.25,0.75,0,0.654723695,,,
0.25,0.75,0.25,0.655225752,,,
0.25,0.75,0.5,0.649863987,,,
0.25,1,0.25,0.70168309,,,
0.5,-1,-0.5,0.745727325,,,
0.5,-0.75,-0.75,0.724862266,,,
0.5,-0.75,-0.5,0.675025458,,,
0.5,-0.75,-0.25,0.675968489,,,
0.5,-0.5,-1,0.724381072,,,
0.5,-0.5,-0.75,0.696220591,,,
0.5,-0.5,-0.5,0.669398751,,,
0.5,-0.5,-0.25,0.63688931,,,
0.5,-0.5,0,0.635292932,,,
0.5,-0.25,-0.75,0.676841553,,,
0.5,-0.25,-0.5,0.63743803,,,
0.5,-0.25,-0.25,0.63747281,,,
0.5,-0.25,0,0.614753971,,,
0.5,-0.25,0.25,0.658697321,,,
0.5,0,-0.5,0.631426683,,,
0.5,0,-0.25,0.613358927,,,
0.5,0,0,0.627397673,,,
0.5,0,0.25,0.661488155,,,
0.5,0,0.5,0.618998681,,,
0.5,0.25,-0.25,0.640259851,,,
0.5,0.25,0,0.632806437,,,
0.5,0.25,0.25,0.643124739,,,
0.5,0.25,0.5,0.660829074,,,
0.5,0.25,0.75,0.664133176,,,
0.5,0.5,0,0.658086419,,,
0.5,0.5,0.25,0.646062175,,,
0.5,0.5,0.5,0.68761976,,,
0.5,0.5,0.75,0.706027319,,,
0.5,0.5,1,0.701072107,,,
0.5,0.75,0.25,0.671795147,,,
0.5,0.75,0.5,0.686273993,,,
0.5,0.75,0.75,0.710528392,,,
0.5,1,0.5,0.705413083,,,
0.75,-1,-0.75,0.773125382,,,
0.75,-0.75,-1,0.792825534,,,
0.75,-0.75,-0.75,0.749014139,,,
0.75,-0.75,-0.5,0.737641413,,,
0.75,-0.5,-0.75,0.713773765,,,
0.75,-0.5,-0.5,0.699891174,,,
0.75,-0.5,-0.25,0.7043747,,,
0.75,-0.25,-0.5,0.666043157,,,
0.75,-0.25,-0.25,0.65116254,,,
0.75,-0.25,0,0.715775709,,,
0.75,0,-0.25,0.697733677,,,
0.75,0,0,0.663989845,,,
0.75,0,0.25,0.674492417,,,
0.75,0.25,0,0.687523909,,,
0.75,0.25,0.25,0.705600105,,,
0.75,0.25,0.5,0.671645132,,,
0.75,0.5,0.25,0.693652757,,,
0.75,0.5,0.5,0.670504159,,,
0.75,0.5,0.75,0.701878412,,,
0.75,0.75,0.5,0.715739049,,,
0.75,0.75,0.75,0.751088277,,,
0.75,0.75,1,0.784823332,,,
0.75,1,0.75,0.750268662,,,
1,-1,-1,0.834293198,,,
1,-0.75,-0.75,0.800923464,,,
1,-0.5,-0.5,0.765735613,,,
1,-0.25,-0.25,0.773453461,,,
1,0,0,0.751276671,,,
1,0.25,0.25,0.763676237,,,
1,0.5,0.5,0.796253144,,,
1,0.75,0.75,0.834153303,,,
1,1,1,0.84907063,,,
