lambda1, lambda2, lambda3, fidelidad
0.0,0.0,-0.25,0.5612684856789163
0.0,0.0,0.0,0.5533718942674571
0.0,0.0,0.25,0.5814611240033293
0.0,0.0,0.5,0.6055167887974416
0.0,0.0,0.75,0.6597937680181316
0.0,0.0,1.0,0.7038294086411234
0.0,0.25,-0.75,0.6725381085454949
0.0,0.25,-0.5,0.6471106898247159
0.0,0.25,-0.25,0.5806959128747586
0.0,0.25,0.0,0.5553531394773424
0.0,0.25,0.25,0.5931342405891129
0.0,0.25,0.5,0.6046352160579199
0.0,0.25,0.75,0.6811381794869266
0.0,0.5,-0.5,0.6604321985932673
0.0,0.5,-0.25,0.6248176442116795
0.0,0.5,0.0,0.6090624920795853
0.0,0.5,0.25,0.6105521020131064
0.0,0.5,0.5,0.6327102094498515
0.0,0.75,-0.25,0.6571734335801045
0.0,0.75,0.0,0.6521375929911851
0.0,0.75,0.25,0.6560365637118651
0.0,1.0,0.0,0.7429020722318174
0.25,-1.0,-0.25,0.7527012568737432
0.25,-0.75,-0.5,0.7137436428691633
0.25,-0.75,-0.25,0.6805668099000431
0.25,-0.75,0.0,0.686554316439195
0.25,-0.5,-0.75,0.6939834700980136
0.25,-0.5,-0.5,0.6553324059797055
0.25,-0.5,-0.25,0.6327254040561959
0.25,-0.5,0.0,0.6314072860502002
0.25,-0.5,0.25,0.6335096792373676
0.25,-0.25,-1.0,0.7266923080739798
0.25,-0.25,-0.75,0.7039303416568738
0.25,-0.25,-0.5,0.6363950485500889
0.25,-0.25,-0.25,0.601279849609788
0.25,-0.25,0.0,0.5945793965577426
0.25,-0.25,0.25,0.6119671934415418
0.25,-0.25,0.5,0.6454364599589401
0.25,0.0,-0.75,0.6800567836569673
0.25,0.0,-0.5,0.618760279724776
0.25,0.0,-0.25,0.5808650716075037
0.25,0.0,0.0,0.5785009810817489
0.25,0.0,0.25,0.5919227715680838
0.25,0.0,0.5,0.647944960871567
0.25,0.0,0.75,0.68259435874881
0.25,0.25,-0.5,0.6608861512492925
0.25,0.25,-0.25,0.594207702676622
0.25,0.25,0.0,0.5875834890523944
0.25,0.25,0.25,0.5865449819400353
0.25,0.25,0.5,0.628306598978104
0.25,0.25,0.75,0.6670974865488192
0.25,0.25,1.0,0.7018480747915469
0.25,0.5,-0.25,0.6137871628337561
0.25,0.5,0.0,0.6417907965533463
0.25,0.5,0.25,0.6194215038704846
0.25,0.5,0.5,0.6441717721527642
0.25,0.5,0.75,0.647343415073657
0.25,0.75,0.0,0.6553741503783905
0.25,0.75,0.25,0.6655353454495508
0.25,0.75,0.5,0.6704191270426644
0.25,1.0,0.25,0.7112681257164497
0.5,-1.0,-0.5,0.7526986647397704
0.5,-0.75,-0.75,0.7286687911124791
0.5,-0.75,-0.5,0.6805676031584637
0.5,-0.75,-0.25,0.6842712758016496
0.5,-0.5,-1.0,0.7267977351945156
0.5,-0.5,-0.75,0.7013719206868605
0.5,-0.5,-0.5,0.6733492776658712
0.5,-0.5,-0.25,0.6411778598307981
0.5,-0.5,0.0,0.656753936731123
0.5,-0.25,-0.75,0.6840392039704569
0.5,-0.25,-0.5,0.6381328897098053
0.5,-0.25,-0.25,0.6432222026038275
0.5,-0.25,0.0,0.6180735763287943
0.5,-0.25,0.25,0.6641667931347984
0.5,0.0,-0.5,0.6495470395271716
0.5,0.0,-0.25,0.628684628857799
0.5,0.0,0.0,0.6279490266510209
0.5,0.0,0.25,0.6846961594956411
0.5,0.0,0.5,0.6322091273003261
0.5,0.25,-0.25,0.6520112553577594
0.5,0.25,0.0,0.6415260611468755
0.5,0.25,0.25,0.6475692384535229
0.5,0.25,0.5,0.6608949042881357
0.5,0.25,0.75,0.6657357301369277
0.5,0.5,0.0,0.6804606267134157
0.5,0.5,0.25,0.6477013205078435
0.5,0.5,0.5,0.6895214838755095
0.5,0.5,0.75,0.7119606248323979
0.5,0.5,1.0,0.7171944339386194
0.5,0.75,0.25,0.6844464465929818
0.5,0.75,0.5,0.6939706521329329
0.5,0.75,0.75,0.7111991474627802
0.5,1.0,0.5,0.7070557326886363
0.75,-1.0,-0.75,0.7736391996760219
0.75,-0.75,-1.0,0.7950666594293729
